Date,Backtest Val,Daily PnL,Daily % PnL,Cumulative PnL,Portfolio Value
2021-12-31,10000.0,0.0,0.0,0.0,10000.0
2022-01-04,10113.00707859862,113.00707859862086,1.1300707859862147,113.00707859862086,10113.00707859862
2022-02-10,10325.9256,325.9256000000005,3.2592560000000104,438.93267859862135,10438.932678598621
2022-03-18,10404.815606111017,404.8156061110167,4.048156061110175,843.748284709638,10843.748284709638
2022-03-21,9816.411918631924,-183.58808136807602,-1.835880813680757,660.160203341562,10660.160203341562
2022-03-22,10092.77159983711,92.77159983710953,0.9277159983710925,752.9318031786715,10752.931803178672
2022-03-23,10656.362402382889,656.3624023828888,6.5636240238288845,1409.2942055615604,11409.29420556156
2022-03-24,9913.96960718868,-86.03039281132078,-0.8603039281132041,1323.2638127502396,11323.26381275024
2022-03-25,10143.501900000001,143.50190000000111,1.435019000000004,1466.7657127502407,11466.76571275024
2022-03-29,10047.430111613645,47.43011161364484,0.4743011161364441,1514.1958243638855,11514.195824363886
2022-03-30,10092.200064810675,92.20006481067503,0.9220006481067466,1606.3958891745606,11606.39588917456
2022-03-31,9998.016885671166,-1.9831143288338353,-0.019831143288340236,1604.4127748457267,11604.412774845727
